x,y,z,ax,ay,az,aw,s,ss
968.054,1133.07,0.0,0.0,0.0,0.0792834566471807,0.9968521121520858,58.8068989603826,0.8831670283699963
968.925,1133.2,0.0,0.0,0.0,0.08019918529380078,0.9967788574594721,59.68754701721347,0.8806480568308744
969.795,1133.35,0.0,0.0,0.0,0.08224499766253186,0.9966121413867534,60.57038335538718,0.882836338173711
971.095,1133.57,0.0,0.0,0.0,0.0844808084629421,0.996425106569203,61.88886733329521,1.3184839779080326
972.394,1133.79,0.0,0.0,0.0,0.08790335388594388,0.9961290078978738,63.20636534088382,1.3174980075886094
972.826,1133.87,0.0,0.0,0.0,0.08876043775499591,0.996053002951922,63.645710307851694,0.43934496696787423
974.556,1134.19,0.0,0.0,0.0,0.09323340386303207,0.9956442800539321,65.40505677742503,1.7593464695733376
975.42,1134.35,0.0,0.0,0.0,0.09576236206150159,0.9954042244296545,66.28374671136066,0.8786899339356367
976.287,1134.53,0.0,0.0,0.0,0.09877788478461019,0.9951095062742986,67.16923471240877,0.8854880010480966
977.149,1134.7,0.0,0.0,0.0,0.10166835706918512,0.9948183478257991,68.04783814968862,0.8786034372798496
978.443,1134.97,0.0,0.0,0.0,0.106628508067079,0.9942989295314507,69.36970652437648,1.3218683746878679
979.303,1135.16,0.0,0.0,0.0,0.10952526657469981,0.9939840119346693,70.25044485100933,0.8807383266328566
980.161,1135.36,0.0,0.0,0.0,0.1124505776292076,0.9936573189942585,71.13144655361826,0.8810017026089317
981.447,1135.66,0.0,0.0,0.0,0.11689954409801696,0.9931437441728542,72.45197523562418,1.3205286820059075
982.302,1135.86,0.0,0.0,0.0,0.11896459164545169,0.9928984972969951,73.33005552808036,0.8780802924561958
983.155,1136.07,0.0,0.0,0.0,0.12233619007847112,0.9924887186245919,74.20852522021546,0.8784696921350975
984.012,1136.29,0.0,0.0,0.0,0.12490465909516221,0.9921687488206435,75.09331276533574,0.8847875451202747
985.294,1136.62,0.0,0.0,0.0,0.12957441347243684,0.991569700713608,76.41710428970808,1.3237915243723433
986.146,1136.85,0.0,0.0,0.0,0.13266638834858027,0.9911607485178898,77.2996030149196,0.882498725211525
987.0,1137.09,0.0,0.0,0.0,0.13523311481755143,0.9908138092783846,78.18668587463456,0.8870828597149625
988.269,1137.45,0.0,0.0,0.0,0.139647515361093,0.9902012782527971,79.50576168746721,1.3190758128326459
989.116,1137.69,0.0,0.0,0.0,0.14187570883467962,0.9898844797463274,80.38610764219182,0.8803459547246016
989.958,1137.94,0.0,0.0,0.0,0.14473786794801682,0.989470034706389,81.26443787621542,0.8783302340236125
990.804,1138.19,0.0,0.0,0.0,0.14745294986574867,0.9890690711855714,82.14660339356463,0.8821655173492139
992.068,1138.59,0.0,0.0,0.0,0.15138762465528635,0.9884744746837069,83.47238467266007,1.3257812790954306
992.909,1138.85,0.0,0.0,0.0,0.15350411276629675,0.988148008834624,84.35265792569007,0.8802732530299947
993.75,1139.12,0.0,0.0,0.0,0.15558972567729587,0.987821763914758,85.2359364774505,0.8832785517604308
995.009,1139.53,0.0,0.0,0.0,0.15909205867736909,0.9872637524318395,86.56001389210573,1.3240774146552399
